level,control,student_count,awards_per_value,pell_value
4-year,Private not-for-profit,5703,24.5,68.8
2-year,Public,5860,11.3,68.7
2-year,Public,6842,8,68.7
2-year,Public,5298,8.1,68.7
2-year,Public,11800,6.6,68.6
2-year,Public,9384,6.8,68.6
2-year,Public,9036,7.9,68.6
2-year,Public,12640,11.2,68.6
4-year,Private not-for-profit,9671,21.7,68.6
4-year,Private not-for-profit,1604,19.1,68.5
2-year,Private for-profit,958,27.6,68.5
2-year,Private for-profit,590,36.3,68.5
2-year,Public,4035,17.4,68.4
4-year,Private not-for-profit,16420,23.3,68.4
2-year,Public,28627,11.9,68.4
4-year,Private not-for-profit,684,16.7,68.3
4-year,Public,8347,25.3,68.3
2-year,Public,11285,17.1,68.3
4-year,Private not-for-profit,2900,24.4,68.3
4-year,Private not-for-profit,692,22.2,68.3
2-year,Private for-profit,387,47.4,68.2
4-year,Private not-for-profit,1129,27,68.2
4-year,Private for-profit,381,30.9,68.2
4-year,Private not-for-profit,521,5.9,68.2
2-year,Public,2031,24.2,68.2
4-year,Public,16671,23.1,68.2
4-year,Private not-for-profit,3828,24.7,68.1
4-year,Public,32695,22.3,68
4-year,Private not-for-profit,2009,22.4,68
2-year,Public,10770,19.5,68
4-year,Private not-for-profit,1010,20.1,67.9
2-year,Public,1470,37.6,67.9
4-year,Private not-for-profit,2926,20.5,67.9
4-year,Private for-profit,296,9.5,67.9
4-year,Public,17749,25.3,67.9
2-year,Public,3705,21.6,67.9
4-year,Private for-profit,346,22.6,67.8
2-year,Public,7150,19.2,67.8
2-year,Public,1923,23.3,67.8
2-year,Public,16869,15.2,67.8
4-year,Private not-for-profit,1066,24.4,67.7
2-year,Public,3825,16,67.7
2-year,Public,5258,22.3,67.7
4-year,Private for-profit,1659,25.4,67.7
2-year,Public,4717,18,67.6
4-year,Private not-for-profit,1424,22.8,67.6
2-year,Public,17685,15,67.6
4-year,Private not-for-profit,1590,20.7,67.6
2-year,Public,6351,17.5,67.6
2-year,Public,8520,21.4,67.5
4-year,Private not-for-profit,4613,24.7,67.5
4-year,Private not-for-profit,623,24.3,67.5
4-year,Private not-for-profit,1240,27.2,67.4
2-year,Public,7020,17,67.4
2-year,Private for-profit,617,60.7,67.4
4-year,Private not-for-profit,10168,22.2,67.3
4-year,Private not-for-profit,234,46,67.3
2-year,Private not-for-profit,215,19.4,67.3
4-year,Private not-for-profit,571,19.7,67.3
2-year,Public,7023,16.2,67.3
4-year,Private not-for-profit,2358,25.3,67.2
4-year,Private not-for-profit,508,26.5,67.2
4-year,Private for-profit,543,35,67.1
4-year,Private not-for-profit,2153,21.5,67.1
4-year,Private not-for-profit,1255,21.6,67.1
4-year,Private not-for-profit,3103,18.3,67
2-year,Public,16106,15.8,66.9
2-year,Private not-for-profit,103,39.8,66.9
2-year,Public,4886,14.9,66.7
4-year,Private not-for-profit,1427,48.4,66.7
4-year,Private not-for-profit,2797,22.2,66.7
4-year,Private not-for-profit,2204,23.6,66.7
4-year,Public,15814,25.6,66.6
2-year,Private for-profit,430,19.6,66.6
4-year,Private not-for-profit,9283,26.5,66.6
4-year,Public,8950,23.8,66.5
2-year,Public,10866,8.8,66.5
4-year,Private not-for-profit,3335,22.6,66.5
2-year,Public,8437,12.1,66.5
2-year,Public,5064,9.8,66.5
4-year,Private not-for-profit,1196,19.9,66.4
2-year,Private for-profit,200,45,66.4
4-year,Private for-profit,2322,18.9,66.3
2-year,Public,2714,30.9,66.3
2-year,Public,3340,28.6,66.3
4-year,Private not-for-profit,2781,42.5,66.2
2-year,Public,8150,18,66.2
2-year,Private for-profit,484,27.6,66.2
4-year,Private not-for-profit,972,25.3,66.2
4-year,Private not-for-profit,3658,30.1,66.2
4-year,Private not-for-profit,2069,21.5,66.2
4-year,Private not-for-profit,1780,26.4,66.2
4-year,Private not-for-profit,2920,25.7,66.1
4-year,Public,3039,28.1,66.1
2-year,Public,2220,17.5,66.1
2-year,Public,1834,18.7,66.1
4-year,Private not-for-profit,97,17.6,66
4-year,Private not-for-profit,1607,31.7,66
2-year,Public,1930,19.7,66
2-year,Public,1784,21.6,65.9
4-year,Public,13306,32.2,65.9
4-year,Public,11229,21.1,65.8
2-year,Private for-profit,257,11.2,65.8
2-year,Public,5212,9,65.8
4-year,Private not-for-profit,1333,24,65.8
4-year,Private not-for-profit,906,19.6,65.7
2-year,Public,11225,12.1,65.7
4-year,Private not-for-profit,133,17.9,65.7
2-year,Public,10721,14.5,65.6
4-year,Public,9873,24.4,65.6
4-year,Private not-for-profit,2444,24,65.6
2-year,Public,14830,15.5,65.6
2-year,Private not-for-profit,424,28,65.6
4-year,Private not-for-profit,2016,20.1,65.6
4-year,Public,16300,20,65.6
4-year,Private not-for-profit,1655,31.4,65.5
4-year,Private not-for-profit,4051,19.7,65.5
4-year,Private not-for-profit,988,34.9,65.5
2-year,Private for-profit,265,7.1,65.5
4-year,Private not-for-profit,2304,22.6,65.5
4-year,Private not-for-profit,1064,22.7,65.5
4-year,Private not-for-profit,2477,20.3,65.5
4-year,Private not-for-profit,1014,23.7,65.5
4-year,Private not-for-profit,828,25.4,65.4
4-year,Private not-for-profit,1615,27.5,65.4
4-year,Private not-for-profit,1163,19.5,65.4
4-year,Private not-for-profit,524,16.1,65.4
4-year,Private not-for-profit,1053,22,65.4
2-year,Public,98778,17.1,65.4
4-year,Public,12928,16.7,65.3
4-year,Public,22409,22.8,65.3
4-year,Private for-profit,3726,23.7,65.3
4-year,Private not-for-profit,4162,19.6,65.3
4-year,Private not-for-profit,5717,21.3,65.3
4-year,Public,8913,18.1,65.2
4-year,Public,10268,16.4,65.2
4-year,Public,3981,19.8,65.2
4-year,Public,7512,15.7,65.2
4-year,Public,36862,23.1,65.2
4-year,Public,5904,15.7,65.2
4-year,Public,6148,18.9,65.2
4-year,Public,4326,18,65.1
4-year,Private for-profit,406,57.2,65.1
2-year,Private for-profit,399,46.6,65.1
4-year,Private for-profit,525,38.5,65.1
4-year,Private for-profit,283,39,65.1
4-year,Private for-profit,4296,19.1,65.1
4-year,Private for-profit,619,38.7,65.1
4-year,Private for-profit,290,34.6,65
2-year,Private for-profit,1240,52.2,64.9
4-year,Private not-for-profit,1199,17.3,64.9
4-year,Private not-for-profit,2203,22.1,64.9
4-year,Private not-for-profit,10766,34.9,64.9
4-year,Private not-for-profit,452,10.5,64.8
4-year,Private for-profit,423,42.4,64.8
4-year,Private not-for-profit,8477,23.5,64.8
4-year,Private not-for-profit,2311,22.9,64.8
4-year,Public,8390,18.2,64.7
4-year,Public,6054,16,64.7
4-year,Private not-for-profit,2205,20.5,64.7
4-year,Private not-for-profit,1980,23.6,64.7
4-year,Private not-for-profit,1141,19.4,64.7
4-year,Private not-for-profit,649,23.8,64.7
4-year,Private not-for-profit,1479,24.8,64.7
2-year,Private for-profit,366,32.7,64.6
4-year,Private not-for-profit,2146,19.1,64.6
4-year,Private not-for-profit,1874,16.5,64.6
4-year,Private not-for-profit,3251,21.4,64.6
4-year,Public,18383,16,64.6
4-year,Private not-for-profit,902,19.8,64.6
4-year,Private not-for-profit,398,45,64.6
4-year,Private not-for-profit,1019,32.8,64.5
4-year,Private not-for-profit,1042,21.2,64.5
4-year,Private not-for-profit,2293,29.7,64.5
4-year,Private not-for-profit,1386,21.2,64.5
4-year,Private not-for-profit,1011,24.7,64.5
4-year,Private not-for-profit,1419,19,64.4
4-year,Private not-for-profit,1125,20.2,64.4
2-year,Public,20167,16.5,64.4
4-year,Private not-for-profit,90,7.6,64.3
4-year,Private not-for-profit,1376,21,64.3
4-year,Private not-for-profit,3383,25,64.3
4-year,Private not-for-profit,1694,20.3,64.3
2-year,Public,1034,24.7,64.2
4-year,Private not-for-profit,187,45.2,64.2
2-year,Public,8694,17.9,64.1
4-year,Private not-for-profit,229,25.6,64.1
4-year,Private not-for-profit,1559,26.2,64.1
4-year,Private not-for-profit,2096,23.9,64
4-year,Private not-for-profit,1721,23.4,64
4-year,Private for-profit,205,23.3,64
4-year,Private for-profit,483,25.5,63.9
4-year,Private for-profit,177,41.6,63.9
2-year,Public,5809,16.1,63.8
2-year,Public,4604,32.1,63.8
2-year,Public,5697,21.2,63.8
2-year,Public,2574,25.7,63.8
4-year,Public,27659,20.1,63.7
4-year,Private not-for-profit,599,26.7,63.7
2-year,Public,6861,16.8,63.7
4-year,Public,21974,21.7,63.7
2-year,Public,15076,21.8,63.6
4-year,Private not-for-profit,1554,20.7,63.6
4-year,Private not-for-profit,2466,20.6,63.6
4-year,Private not-for-profit,319,15,63.5
2-year,Public,2101,25.3,63.5
4-year,Private not-for-profit,831,39.7,63.5
4-year,Private not-for-profit,1305,20.3,63.5
4-year,Private not-for-profit,1476,33.5,63.5
4-year,Private for-profit,50895,18.5,63.5
2-year,Public,3207,29.5,63.5
4-year,Public,10380,22.7,63.4
4-year,Private not-for-profit,1233,20,63.4
2-year,Public,5201,23.9,63.3
2-year,Public,1628,33.8,63.3
4-year,Private not-for-profit,2743,26.1,63.3
4-year,Private not-for-profit,184,51.3,63.2
4-year,Private not-for-profit,1712,23.8,63.2
2-year,Public,3225,26.8,63.1
2-year,Public,1573,27.8,63.1
4-year,Private not-for-profit,4632,29.2,63
4-year,Private for-profit,1150,22.9,63
4-year,Private not-for-profit,1714,21,63
2-year,Public,6331,24.7,63
4-year,Private not-for-profit,1728,27.1,62.9
2-year,Public,2852,14.2,62.9
4-year,Private not-for-profit,1897,34.2,62.9
2-year,Public,5210,15.7,62.9
4-year,Private not-for-profit,2113,17.7,62.9
4-year,Private not-for-profit,665,17.9,62.8
4-year,Private not-for-profit,482,20.9,62.8
4-year,Private for-profit,486,42.2,62.8
4-year,Private for-profit,508,40.8,62.8
2-year,Private for-profit,88,22.8,62.8
2-year,Public,9142,17.8,62.7
4-year,Private not-for-profit,1037,14.3,62.7
2-year,Public,2318,16.4,62.7
2-year,Public,1866,22.4,62.7
2-year,Public,1402,30.6,62.7
2-year,Public,3888,18.9,62.7
2-year,Public,1785,18.2,62.6
4-year,Private not-for-profit,474,15.1,62.6
4-year,Public,3873,20.1,62.6
2-year,Public,834,50.8,62.6
4-year,Public,11433,34.7,62.6
4-year,Private not-for-profit,234,21.1,62.5
4-year,Private not-for-profit,1609,34.6,62.5
2-year,Public,1931,20.3,62.5
2-year,Public,1997,20.6,62.5
4-year,Public,742,23.8,62.4
2-year,Private not-for-profit,445,34.4,62.4
2-year,Public,3226,16.8,62.4
2-year,Public,6127,21.3,62.3
2-year,Public,1031,13.6,62.2
2-year,Public,19672,14.3,62.2
4-year,Private for-profit,783,18.2,62.2
2-year,Public,6570,17.7,62.1
4-year,Public,19217,22.3,62.1
4-year,Private not-for-profit,2795,20.2,62.1
4-year,Public,20169,19.9,62
4-year,Private not-for-profit,684,22.2,62
2-year,Public,1959,18.1,61.9
2-year,Public,825,36,61.9
4-year,Private not-for-profit,327,21.9,61.9
4-year,Private not-for-profit,637,22.3,61.9
4-year,Private not-for-profit,1438,30.4,61.8
2-year,Public,2667,26.2,61.8
2-year,Public,844,44.2,61.8
2-year,Public,626,41.5,61.7
4-year,Private not-for-profit,538,18,61.7
4-year,Public,6236,19.5,61.7
2-year,Public,1541,30.1,61.7
4-year,Private not-for-profit,890,22.7,61.7
2-year,Public,447,36,61.7
2-year,Public,1857,25.1,61.7
4-year,Private not-for-profit,1358,37.3,61.7
4-year,Private not-for-profit,690,20.3,61.7
4-year,Private not-for-profit,725,21.5,61.7
4-year,Public,6179,21.8,61.6
2-year,Public,2934,21.6,61.6
4-year,Public,11670,20.2,61.5
4-year,Private not-for-profit,631,14.9,61.5
4-year,Private not-for-profit,1547,21.1,61.5
2-year,Public,3359,21.1,61.5
4-year,Private not-for-profit,2593,20.3,61.5
4-year,Private not-for-profit,1623,17.7,61.4
2-year,Public,4758,19.5,61.4
4-year,Private not-for-profit,928,16.2,61.4
4-year,Private not-for-profit,3048,14.9,61.4
2-year,Public,12365,17.9,61.4
4-year,Private not-for-profit,1381,22.1,61.4
4-year,Private not-for-profit,152,24.6,61.3
2-year,Private for-profit,847,44.2,61.2
4-year,Private not-for-profit,2096,16.5,61.2
4-year,Public,13891,20.4,61.2
2-year,Public,6929,20.1,61.2
4-year,Private not-for-profit,1043,20,61.2
2-year,Public,3790,23,61.2
2-year,Public,2036,15,61.1
2-year,Public,3609,21.5,61.1
4-year,Private for-profit,86,40.1,61.1
2-year,Public,13498,14.8,61
4-year,Private for-profit,1282,33.8,61
4-year,Public,2370,12.9,61
4-year,Private not-for-profit,657,20.8,61
4-year,Public,21441,19.6,61
4-year,Private not-for-profit,559,16.1,61
4-year,Private not-for-profit,2200,19.4,60.9
4-year,Private for-profit,381,35.1,60.9
4-year,Public,15954,19.7,60.9
2-year,Public,4522,23.6,60.9
2-year,Public,3595,14.5,60.8
4-year,Private not-for-profit,2154,37,60.8
4-year,Private not-for-profit,1247,25,60.7
4-year,Public,10076,20,60.7
4-year,Public,9172,19.8,60.7
2-year,Public,4646,16,60.7
4-year,Public,12794,19.5,60.7
4-year,Private for-profit,122,38.8,60.6
2-year,Public,7104,19.8,60.6
4-year,Private not-for-profit,1738,12.9,60.6
2-year,Public,4715,15.3,60.6
4-year,Private for-profit,1420,26,60.6
4-year,Private not-for-profit,748,20.2,60.4
4-year,Private for-profit,443,33.9,60.4
2-year,Public,7504,18.4,60.4
2-year,Public,5221,21.7,60.4
4-year,Private not-for-profit,1371,20.3,60.3
2-year,Private for-profit,533,30.4,60.3
4-year,Private for-profit,3687,23.3,60.3
4-year,Private not-for-profit,1502,27.2,60.3
4-year,Private not-for-profit,1082,19.1,60.3
4-year,Private not-for-profit,818,17.3,60.2
4-year,Public,17509,18.9,60.2
2-year,Public,2242,28.2,60.2
2-year,Public,2324,40.4,60.1
2-year,Public,8464,17,60
2-year,Private for-profit,23,29.3,60
4-year,Private not-for-profit,586,21.6,60
2-year,Public,18698,12.3,60
2-year,Private for-profit,199,31.7,59.9
4-year,Private not-for-profit,1183,11.6,59.9
2-year,Public,2506,21.6,59.9
4-year,Public,4155,16.6,59.8
2-year,Private for-profit,630,35.2,59.8
4-year,Public,2211,17.3,59.8
4-year,Public,24923,19.5,59.8
2-year,Public,2673,17,59.8
4-year,Public,3674,17.8,59.7
2-year,Public,2832,45.7,59.7
4-year,Private not-for-profit,1116,17,59.7
4-year,Public,9245,16.9,59.7
4-year,Private not-for-profit,2946,17,59.6
4-year,Public,7575,17.3,59.6
4-year,Public,7144,20.2,59.6
4-year,Public,5888,19.4,59.6
4-year,Public,7276,18.9,59.6
2-year,Public,2694,35.4,59.6
4-year,Public,7836,24.5,59.5
4-year,Private not-for-profit,878,18.4,59.5
4-year,Private not-for-profit,1486,42,59.5
4-year,Private not-for-profit,133,24.2,59.5
2-year,Public,1968,25,59.5
2-year,Private not-for-profit,326,17.4,59.5
2-year,Public,3225,53.9,59.4
4-year,Public,13730,17,59.4
4-year,Public,5746,14.6,59.4
4-year,Public,1809,15.8,59.4
2-year,Public,3018,16.6,59.3
4-year,Public,15053,16.9,59.3
2-year,Public,3151,29.5,59.3
4-year,Private not-for-profit,8290,19.3,59.2
4-year,Private not-for-profit,2504,12.8,59.2
2-year,Public,2410,33.1,59.2
4-year,Private for-profit,988,22.3,59.1
4-year,Private not-for-profit,362,24.1,59.1
4-year,Private not-for-profit,1791,25.6,59
2-year,Private for-profit,464,30.2,59
4-year,Private not-for-profit,1795,25.2,58.9
2-year,Private not-for-profit,225,50.9,58.9
2-year,Public,3109,26.1,58.9
4-year,Private not-for-profit,1820,25.4,58.9
2-year,Public,2558,23.8,58.8
4-year,Private not-for-profit,2350,19.7,58.8
2-year,Public,2263,27.5,58.8
4-year,Public,4770,20.7,58.8
4-year,Public,1901,19.3,58.8
4-year,Public,1209,20.3,58.7
4-year,Public,892,14.3,58.7
4-year,Public,9182,21.6,58.7
4-year,Public,994,16.8,58.7
4-year,Public,1263,21.6,58.7
4-year,Private not-for-profit,2653,18.4,58.7
2-year,Public,1086,30.6,58.7
4-year,Private not-for-profit,378,21.2,58.6
4-year,Private not-for-profit,1276,22.5,58.6
2-year,Public,7157,16.3,58.6
4-year,Public,7098,24.2,58.6
4-year,Private not-for-profit,1339,18.7,58.6
4-year,Private not-for-profit,553,21.1,58.6
2-year,Public,463,39.4,58.6
2-year,Public,3191,31.8,58.6
2-year,Public,16463,17.8,58.5
2-year,Private for-profit,360,34.7,58.5
2-year,Public,5394,11.9,58.5
4-year,Public,3526,26.6,58.5
4-year,Public,4358,17.6,58.4
4-year,Private not-for-profit,442,14.4,58.4
2-year,Public,2604,20.8,58.4
2-year,Public,8781,25.7,58.4
2-year,Public,2563,17.6,58.4
4-year,Private not-for-profit,1011,24.4,58.4
4-year,Public,2920,14.6,58.4
2-year,Public,6050,25.3,58.4
4-year,Public,4703,21.2,58.3
2-year,Public,769,16.1,58.3
4-year,Private not-for-profit,1449,21.4,58.2
4-year,Private for-profit,845,20.3,58.2
2-year,Public,4905,21.1,58.2
2-year,Public,6992,19.1,58.2
4-year,Private not-for-profit,1388,24.8,58.2
2-year,Public,9969,15.9,58.2
4-year,Private not-for-profit,6117,25,58.2
2-year,Private for-profit,693,62.6,58.2
4-year,Private not-for-profit,4004,22.5,58.1
4-year,Public,26740,29.4,58.1
4-year,Public,11136,22.6,58.1
4-year,Public,26658,27,58
4-year,Private not-for-profit,1896,20.3,58
4-year,Public,3530,14.7,58
2-year,Public,26155,14.7,58
4-year,Public,6252,14,58
4-year,Private not-for-profit,1741,21.4,57.9
4-year,Private not-for-profit,340,10.7,57.9
4-year,Private not-for-profit,1234,34.2,57.9
2-year,Public,13825,12.3,57.9
2-year,Private for-profit,683,26.1,57.8
4-year,Public,8004,22.8,57.8
4-year,Public,1819,22,57.7
4-year,Private not-for-profit,1037,15.9,57.7
4-year,Private not-for-profit,443,19.8,57.7
2-year,Private for-profit,462,32,57.7
4-year,Public,18779,23.8,57.7
4-year,Private not-for-profit,3965,21,57.7
4-year,Private not-for-profit,1483,18.6,57.7
4-year,Private not-for-profit,1692,21.1,57.6
2-year,Public,3416,20.7,57.6
4-year,Private not-for-profit,1513,19.3,57.6
4-year,Private not-for-profit,1785,26.6,57.6
4-year,Private not-for-profit,1143,23.9,57.6
4-year,Private not-for-profit,2240,23,57.5
4-year,Private not-for-profit,2106,22.8,57.5
4-year,Private not-for-profit,96,21.4,57.5
4-year,Private not-for-profit,1458,30.9,57.5
4-year,Private for-profit,1204,23.6,57.5
4-year,Private not-for-profit,1902,21.7,57.5
4-year,Private not-for-profit,4247,26.1,57.5
4-year,Private not-for-profit,4402,19.7,57.5
2-year,Public,2400,17.9,57.4
4-year,Private not-for-profit,578,12.3,57.4
4-year,Private not-for-profit,9698,24.9,57.4
4-year,Private not-for-profit,545,24.9,57.4
4-year,Private not-for-profit,18165,19.4,57.4
4-year,Private not-for-profit,3614,20.7,57.3
4-year,Public,9615,20.6,57.3
2-year,Public,9335,17.4,57.3
2-year,Public,14023,11.1,57.3
4-year,Private not-for-profit,1050,31.3,57.3
2-year,Public,4051,17.3,57.2
4-year,Private not-for-profit,698,37.2,57.2
4-year,Private not-for-profit,2380,21.5,57.2
4-year,Private not-for-profit,2849,24.4,57.2
4-year,Private not-for-profit,1300,22.7,57.2
4-year,Private not-for-profit,1321,20.6,57.2
4-year,Private not-for-profit,3758,23.5,57.2
4-year,Private not-for-profit,2176,21.6,57.2
4-year,Private not-for-profit,2724,21.2,57.2
4-year,Private not-for-profit,1930,22,57.2
4-year,Public,4245,21.2,57.2
4-year,Public,4584,17.7,57.1
4-year,Private not-for-profit,482,20.1,57.1
4-year,Private not-for-profit,1710,22.1,57.1
2-year,Public,2240,22.9,57.1
4-year,Private not-for-profit,1492,22.2,57
4-year,Private not-for-profit,10534,18.9,56.9
4-year,Private not-for-profit,2912,22.3,56.9
2-year,Public,6740,17.8,56.9
4-year,Private not-for-profit,1687,19.7,56.9
2-year,Private not-for-profit,302,67.3,56.9
4-year,Private not-for-profit,1948,24.6,56.9
4-year,Public,12734,18.7,56.9
4-year,Private not-for-profit,266,24.2,56.9
4-year,Public,22134,23.5,56.8
4-year,Public,12366,21.1,56.8
2-year,Public,5377,15.4,56.8
4-year,Private not-for-profit,3897,22.6,56.8
4-year,Public,2120,20.2,56.8
4-year,Private not-for-profit,4528,24.5,56.7
4-year,Public,1376,16.3,56.6
2-year,Public,8272,16.1,56.6
4-year,Private not-for-profit,2758,20.5,56.6
2-year,Public,9702,17,56.6
4-year,Private not-for-profit,392,16.9,56.5
4-year,Private not-for-profit,2183,23,56.5
4-year,Private not-for-profit,1268,19.7,56.5
2-year,Public,4734,17.8,56.5
4-year,Private not-for-profit,484,22.3,56.4
4-year,Private not-for-profit,431,22.9,56.4
4-year,Private not-for-profit,962,14.7,56.4
4-year,Private not-for-profit,1281,22.9,56.4
4-year,Public,1538,23.3,56.4
2-year,Public,7750,17.7,56.4
4-year,Private for-profit,779,24.2,56.4
4-year,Private not-for-profit,13223,20.8,56.3
2-year,Public,7352,18,56.3
4-year,Private not-for-profit,1347,27.4,56.3
4-year,Private not-for-profit,313,18.9,56.3
2-year,Public,4576,19.1,56.2
2-year,Public,8582,18,56.2
4-year,Private not-for-profit,1188,33.3,56.1
2-year,Public,2437,16.8,56.1
4-year,Public,7664,20.9,56.1
2-year,Private for-profit,699,56.7,56.1
4-year,Private not-for-profit,1732,26.5,56.1
4-year,Private not-for-profit,350,40.6,56
4-year,Private not-for-profit,2606,25.4,56
4-year,Private not-for-profit,2182,21.4,56
2-year,Public,6792,19.9,56
4-year,Public,7437,18.6,56
4-year,Private not-for-profit,2481,24.2,56
4-year,Private not-for-profit,5658,22.6,56
4-year,Private not-for-profit,5180,28.9,56
4-year,Private not-for-profit,2474,22.5,55.9
4-year,Private not-for-profit,4012,19.1,55.9
4-year,Private not-for-profit,2667,22.3,55.9
4-year,Public,5692,22,55.9
4-year,Private not-for-profit,1654,23,55.9
4-year,Private not-for-profit,880,17.4,55.9
4-year,Private not-for-profit,2096,25.2,55.9
4-year,Private not-for-profit,4134,25.8,55.8
4-year,Public,5556,18.9,55.8
4-year,Private not-for-profit,1649,17.9,55.7
4-year,Private not-for-profit,1307,23.8,55.7
4-year,Private not-for-profit,1419,20.9,55.7
2-year,Public,1712,29.2,55.7
4-year,Private not-for-profit,1905,21,55.6
4-year,Private not-for-profit,1863,21.1,55.6
4-year,Private not-for-profit,2815,21.3,55.6
4-year,Private not-for-profit,4948,19,55.5
2-year,Public,2305,31.1,55.5
4-year,Private not-for-profit,3959,20.3,55.5
4-year,Public,20534,20,55.4
2-year,Public,9683,26.5,55.4
4-year,Private not-for-profit,457,39.9,55.4
4-year,Private not-for-profit,584,20.4,55.4
4-year,Private not-for-profit,1363,22.6,55.4
4-year,Private not-for-profit,7356,27.8,55.4
2-year,Public,10272,30.1,55.3
4-year,Private not-for-profit,2888,27,55.3
4-year,Public,19189,18.7,55.3
4-year,Public,13477,28.2,55.3
2-year,Public,1221,24.5,55.2
4-year,Private not-for-profit,1684,18.3,55.2
2-year,Public,1099,30.2,55.2
4-year,Private not-for-profit,579,14.9,55.2
4-year,Private not-for-profit,2200,21.5,55.2
2-year,Public,16590,15.9,55.2
4-year,Public,21235,21.7,55.2
4-year,Private not-for-profit,194,17,55.1
2-year,Public,13836,11.8,55.1
4-year,Private not-for-profit,3388,20.8,55.1
4-year,Private for-profit,343,41.6,55
2-year,Public,5665,19.7,55
4-year,Private not-for-profit,1458,21.5,55
2-year,Public,10192,16.5,54.9
2-year,Public,6123,19.6,54.9
2-year,Public,1805,32.9,54.9
2-year,Public,4230,19,54.8
4-year,Public,2429,25.2,54.8
2-year,Public,17562,16.8,54.8
4-year,Private not-for-profit,3033,24.9,54.7
2-year,Public,23446,20.8,54.7
4-year,Private not-for-profit,3352,34.9,54.7
4-year,Private not-for-profit,1041,16.9,54.7
4-year,Private not-for-profit,1117,29.5,54.6
4-year,Public,28283,24.1,54.6
4-year,Public,37985,23.2,54.5
4-year,Public,5617,20.4,54.5
4-year,Public,7144,20.6,54.5
4-year,Public,7143,18.4,54.5
2-year,Public,4552,14.6,54.4
2-year,Public,3777,19.9,54.4
2-year,Public,1944,16.9,54.4
4-year,Private not-for-profit,4005,23.5,54.3
2-year,Public,4879,17.2,54.3
2-year,Public,2790,20.4,54.3
4-year,Public,8221,19.7,54.2
4-year,Public,4724,23.8,54.2
4-year,Private not-for-profit,2964,38.9,54.2
2-year,Public,26405,14,54.1
4-year,Public,16594,19.2,54.1
4-year,Private not-for-profit,1119,18.8,54.1
4-year,Private not-for-profit,288,22.9,54.1
4-year,Private not-for-profit,264,26.1,54.1
4-year,Public,9163,15.7,54
2-year,Public,12385,16.7,53.9
4-year,Private not-for-profit,2424,46.9,53.9
2-year,Public,4324,22,53.9
2-year,Public,2802,20,53.9
4-year,Private not-for-profit,2968,28.6,53.9
4-year,Private not-for-profit,525,19.8,53.9
2-year,Public,12327,15.9,53.8
2-year,Public,18119,16.3,53.8
4-year,Public,18602,16.6,53.8
2-year,Public,1487,21.8,53.8
4-year,Public,19198,21.5,53.7
4-year,Private for-profit,149,26.7,53.7
2-year,Public,2845,29.1,53.7
2-year,Public,2249,25.9,53.7
2-year,Public,9320,17,53.6
4-year,Private not-for-profit,2716,24.4,53.6
2-year,Public,3308,25.1,53.6
2-year,Public,1216,40.4,53.6
4-year,Public,4727,21.7,53.6
4-year,Private not-for-profit,579,18.2,53.6
4-year,Private not-for-profit,3280,25.8,53.6
2-year,Public,4350,26,53.6
4-year,Private not-for-profit,2045,24.6,53.5
4-year,Private not-for-profit,2531,21.8,53.5
4-year,Private not-for-profit,2206,24.5,53.5
2-year,Public,3128,26.2,53.5
4-year,Private not-for-profit,763,17.8,53.5
2-year,Public,5394,23.3,53.4
4-year,Private for-profit,201,33.2,53.4
2-year,Public,6464,29.4,53.4
4-year,Private for-profit,898,25.2,53.4
2-year,Public,3231,31.1,53.4
4-year,Private not-for-profit,2449,25,53.3
4-year,Private not-for-profit,2164,19.2,53.3
2-year,Public,6402,21.1,53.3
2-year,Public,1376,26.2,53.3
2-year,Public,5944,18,53.2
2-year,Public,1248,28.3,53.2
4-year,Private for-profit,1161,22.8,53.2
4-year,Private not-for-profit,2039,23.3,53.1
2-year,Public,3410,22.5,53.1
4-year,Public,13467,18.4,53.1
4-year,Private for-profit,1122,24.7,53.1
2-year,Public,1425,27.4,53.1
4-year,Public,7647,33.8,53.1
4-year,Public,34449,21,53.1
4-year,Public,2839,17.3,53
2-year,Private for-profit,235,71.4,53
4-year,Private not-for-profit,688,23.8,53
2-year,Public,9691,16.5,53
4-year,Private for-profit,262,36.7,53
4-year,Private not-for-profit,101,27.5,53
4-year,Public,10079,19.9,52.9
4-year,Public,1946,17.6,52.9
4-year,Private for-profit,947,30,52.9
4-year,Public,6163,21.8,52.9
2-year,Public,7562,19.5,52.8
4-year,Private for-profit,371,15.2,52.8
4-year,Private for-profit,237,30,52.8
2-year,Public,9508,15,52.8
4-year,Private not-for-profit,1301,17,52.8
2-year,Public,3792,31.2,52.8
4-year,Private not-for-profit,3149,23.6,52.8
4-year,Private not-for-profit,113,76.8,52.8
4-year,Private not-for-profit,143,32,52.8
2-year,Public,1098,23.1,52.8
2-year,Public,315,26.9,52.7
2-year,Public,6057,22.5,52.7
4-year,Private not-for-profit,2051,23.5,52.7
2-year,Public,4946,27.5,52.7
4-year,Public,15134,20.8,52.7
4-year,Private not-for-profit,1871,22.8,52.6
4-year,Private not-for-profit,1932,31.3,52.6
4-year,Private not-for-profit,3125,23.4,52.6
4-year,Private not-for-profit,1139,23.5,52.5
4-year,Private not-for-profit,2917,25.1,52.4
4-year,Private not-for-profit,6321,20.6,52.4
4-year,Private not-for-profit,3559,25.1,52.4
